ID,Year,"First Name","Middle Name","Last Name",party,Level,Position,state,District,race_ethnicity
196595k,2023,Alma,S.,Adams,Democrat,Congress,"U.S. Representative","North Carolina - NC",,Black
159127k,2023,Tammy,,Baldwin,Democrat,Congress,"U.S. Senator","Wisconsin - WI",,White
503276k,2023,Becca,A.,Balint,Democrat,Congress,"U.S. Representative","Vermont - VT",,White
197852k,2023,Joyce,B.,Beatty,Democrat,Congress,"U.S. Representative","Ohio - OH",,Black
495403k,2023,Stephanie,,Bice,Republican,Congress,"U.S. Representative","Oklahoma - OK",,White
198986k,2023,Marsha,,Blackburn,Republican,Congress,"U.S. Senator","Tennessee - TN",,White
558891k,2023,Lisa,,"Blunt Rochester",Democrat,Congress,"U.S. Representative","Delaware - DE",,Black
724132k,2023,Lauren,,Boebert,Republican,Congress,"U.S. Representative","Colorado - CO",,White
249764k,2023,Suzanne,M.,Bonamici,Democrat,Congress,"U.S. Representative","Oregon - OR",,White
596651k,2023,Katie,,Britt,Republican,Congress,"U.S. Senator","Alabama - AL",,White
772727k,2023,Shontel,,Brown,Democrat,Congress,"U.S. Representative","Ohio - OH",,Black
248455k,2023,Julia,,Brownley,Democrat,Congress,"U.S. Representative","California - CA",,White
693907k,2023,Nikki,,Budzinkski,Democrat,Congress,"U.S. Representative","Illinois - IL",,White
571342k,2023,Cori,,Bush,Democrat,Congress,"U.S. Representative","Missouri - MO",,Black
452286k,2023,Laphonza,,Butler,Democrat,Congress,"U.S. Senator","California - CA",,Black
447426k,2023,Kat,,Cammack,Republican,Congress,"U.S. Representative","Florida - FL",,White
205537k,2023,Maria,,Cantwell,Democrat,Congress,"U.S. Senator","Washington - WA",,White
200084k,2023,Shelley,Moore,Capito,Republican,Congress,"U.S. Senator","West Virginia - WV",,White
651512k,2023,Yadira,,Caraveo,Democrat,Congress,"U.S. Representative","Colorado - CO",,Latina
248289k,2023,Kathy,A.,Castor,Democrat,Congress,"U.S. Representative","Florida - FL",,White
568297k,2023,Lori,,Chavez-DeRemer,Republican,Congress,"U.S. Representative","Oregon - OR",,"White, Latina"
665191k,2023,Sheila,,Cherfilus-McCormick,Democrat,Congress,"U.S. Representative","Florida - FL",,Black
209456k,2023,Judy,,Chu,Democrat,Congress,"U.S. Representative","California - CA",,"Asian American/Pacific Islander"
263010k,2023,Katherine,M.,Clark,Democrat,Congress,"U.S. Representative","Massachusetts - MA",,White
248335k,2023,Yvette,D.,Clarke,Democrat,Congress,"U.S. Representative","New York - NY",,Black
165234k,2023,Susan,,Collins,Republican,Congress,"U.S. Senator","Maine - ME",,White
252293k,2023,Catherine,,"Cortez Masto",Democrat,Congress,"U.S. Senator","Nevada - NV",,Latina
536254k,2023,Angela,D.,Craig,Democrat,Congress,"U.S. Representative","Minnesota - MN",,White
725560k,2023,Jasmine,Felicia,Crockett,Democrat,Congress,"U.S. Representative","Texas - TX",,Black
655850k,2023,Sharice,,Davids,Democrat,Congress,"U.S. Representative","Kansas - KS",,"Native American/Alaska Native/Native Hawaiian"
721272k,2023,Monica,,"De La Cruz",Republican,Congress,"U.S. Representative","Texas - TX",,Latina
569358k,2023,Madeleine,,Dean,Democrat,Congress,"U.S. Representative","Pennsylvania - PA",,White
158770k,2023,Diana,L.,DeGette,Democrat,Congress,"U.S. Representative","Colorado - CO",,White
158778k,2023,Rosa,L.,DeLauro,Democrat,Congress,"U.S. Representative","Connecticut - CT",,White
284676k,2023,Suzan,K.,DelBene,Democrat,Congress,"U.S. Representative","Washington - WA",,White
536062k,2023,Nanette,,"Diaz Barragan",Democrat,Congress,"U.S. Representative","California - CA",,Latina
357079k,2023,Debbie,,Dingell,Democrat,Congress,"U.S. Representative","Michigan - MI",,White
264841k,2023,Tammy,,Duckworth,Democrat,Congress,"U.S. Senator","Illinois - IL",,"Asian American/Pacific Islander"
328986k,2023,Joni,,Ernst,Republican,Congress,"U.S. Senator","Iowa - IA",,White
634679k,2023,Veronica,,Escobar,Democrat,Congress,"U.S. Representative","Texas - TX",,Latina
158731k,2023,Anna,G.,Eshoo,Democrat,Congress,"U.S. Representative","California - CA",,White
195769k,2023,Michelle,L.,Fischbach,Republican,Congress,"U.S. Representative","Minnesota - MN",,White
228296k,2023,Deb,,Fischer,Republican,Congress,"U.S. Senator","Nebraska - NE",,White
397611k,2023,Valerie,P.,Foushee,Democrat,Congress,"U.S. Representative","North Carolina - NC",,Black
196515k,2023,Virginia,A.,Foxx,Republican,Congress,"U.S. Representative","North Carolina - NC",,White
193594k,2023,Lois,J.,Frankel,Democrat,Congress,"U.S. Representative","Florida - FL",,White
454041k,2023,Sylvia,R.,Garcia,Democrat,Congress,"U.S. Representative","Texas - TX",,Latina
248345k,2023,Kirsten,E.,Gillibrand,Democrat,Congress,"U.S. Senator","New York - NY",,White
799642k,2023,Marie,,"Gluesenkamp Perez",Democrat,Congress,"U.S. Representative","Washington - WA",,Latina
159082k,2023,Kay,N.,Granger,Republican,Congress,"U.S. Representative","Texas - TX",,White
707878k,2023,Marjorie,,Greene,Republican,Congress,"U.S. Representative","Georgia - GA",,White
644129k,2023,Harriet,M.,Hageman,Republican,Congress,"U.S. Representative","Wyoming - WY",,White
734559k,2023,Diana,,Harshbarger,Republican,Congress,"U.S. Representative","Tennessee - TN",,White
227982k,2023,Maggie,,Hassan,Democrat,Congress,"U.S. Senator","New Hampshire - NH",,White
666101k,2023,Jahana,,Hayes,Democrat,Congress,"U.S. Representative","Connecticut - CT",,Black
572935k,2023,Ashley,,Hinson,Republican,Congress,"U.S. Representative","Iowa - IA",,White
248294k,2023,Mazie,K.,Hirono,Democrat,Congress,"U.S. Senator","Hawaii - HI",,"Asian American/Pacific Islander"
344439k,2023,Erin,,Houchin,Republican,Congress,"U.S. Representative","Indiana - IN",,White
621721k,2023,Chrissy,,Houlahan,Democrat,Congress,"U.S. Representative","Pennsylvania - PA",,White
282137k,2023,Val,,Hoyle,Democrat,Congress,"U.S. Representative","Oregon - OR",,White
196212k,2023,Cindy,,Hyde-Smith,Republican,Congress,"U.S. Senator","Mississippi - MS",,White
644085k,2023,Sara,,Jacobs,Democrat,Congress,"U.S. Representative","California - CA",,White
499054k,2023,Pramila,,Jayapal,Democrat,Congress,"U.S. Representative","Washington - WA",,"Asian American/Pacific Islander"
312779k,2023,Sydney,K.,Kamlager-Dove,Democrat,Congress,"U.S. Representative","California - CA",,Black
159009k,2023,Marcy,C.,Kaptur,Democrat,Congress,"U.S. Representative","Ohio - OH",,White
212680k,2023,Robin,L.,Kelly,Democrat,Congress,"U.S. Representative","Illinois - IL",,Black
702465k,2023,Jennifer,A.,Kiggans,Republican,Congress,"U.S. Representative","Virginia - VA",,White
494206k,2023,Young,O.,Kim,Republican,Congress,"U.S. Representative","California - CA",,"Asian American/Pacific Islander"
248506k,2023,Amy,,Klobuchar,Democrat,Congress,"U.S. Senator","Minnesota - MN",,White
284835k,2023,Ann,McLane,Kuster,Democrat,Congress,"U.S. Representative","New Hampshire - NH",,White
158726k,2023,Barbara,J.,Lee,Democrat,Congress,"U.S. Representative","California - CA",,Black
695573k,2023,Laurel,,Lee,Republican,Congress,"U.S. Representative","Florida - FL",,White
159088k,2023,Sheila,Jackson,Lee,Democrat,Congress,"U.S. Representative","Texas - TX",,Black
660014k,2023,Summer,L.,Lee,Democrat,Congress,"U.S. Representative","Pennsylvania - PA",,Black
541030k,2023,Susie,,Lee,Democrat,Congress,"U.S. Representative","Nevada - NV",,White
453352k,2023,Teresa,,"Leger Fernandez",Democrat,Congress,"U.S. Representative","New Mexico - NM",,Latina
267627k,2023,Debbie,,Lesko,Republican,Congress,"U.S. Representative","Arizona - AZ",,White
768497k,2023,Julia,,Letlow,Republican,Congress,"U.S. Representative","Louisiana - LA",,White
158733k,2023,Zoe,,Lofgren,Democrat,Congress,"U.S. Representative","California - CA",,White
240578k,2023,Cynthia,M.,Lummis,Republican,Congress,"U.S. Senator","Wyoming - WY",,White
716944k,2023,Anna,Paulina,Luna,Republican,Congress,"U.S. Representative","Florida - FL",,"White, Latina"
466143k,2023,Nancy,,Mace,Republican,Congress,"U.S. Representative","South Carolina - SC",,White
309650k,2023,Nicole,,Malliotakis,Republican,Congress,"U.S. Representative","New York - NY",,"White, Latina"
646745k,2023,Kathy,,Manning,Democrat,Congress,"U.S. Representative","North Carolina - NC",,White
232639k,2023,Doris,O.,Matsui,Democrat,Congress,"U.S. Representative","California - CA",,"Asian American/Pacific Islander"
658185k,2023,Lucy,,McBath,Democrat,Congress,"U.S. Representative","Georgia - GA",,Black
721727k,2023,Lisa,,McClain,Republican,Congress,"U.S. Representative","Michigan - MI",,White
241253k,2023,Jennifer,L.,McClellan,Democrat,Congress,"U.S. Representative","Virginia - VA",,Black
195933k,2023,Betty,,McCollum,Democrat,Congress,"U.S. Representative","Minnesota - MN",,White
199779k,2023,Cathy,,"McMorris Rodgers",Republican,Congress,"U.S. Representative","Washington - WA",,White
271828k,2023,Grace,,Meng,Democrat,Congress,"U.S. Representative","New York - NY",,"Asian American/Pacific Islander"
249553k,2023,Carol,D.,Miller,Republican,Congress,"U.S. Representative","West Virginia - WV",,White
721413k,2023,Mary,,Miller,Republican,Congress,"U.S. Representative","Illinois - IL",,White
267080k,2023,Mariannette,,Miller-Meeks,Republican,Congress,"U.S. Representative","Iowa - IA",,White
199871k,2023,Gwen,S.,Moore,Democrat,Congress,"U.S. Representative","Wisconsin - WI",,Black
192554k,2023,Lisa,,Murkowski,Republican,Congress,"U.S. Senator","Alaska - AK",,White
165286k,2023,Patty,,Murray,Democrat,Congress,"U.S. Senator","Washington - WA",,White
158751k,2023,Grace,F.,Napolitano,Democrat,Congress,"U.S. Representative","California - CA",,Latina
624858k,2023,Alexandria,,Ocasio-Cortez,Democrat,Congress,"U.S. Representative","New York - NY",,Latina
583510k,2023,Ilhan,,Omar,Democrat,Congress,"U.S. Representative","Minnesota - MN",,Black
625330k,2023,Elizabeth,,"Pannill Fletcher",Democrat,Congress,"U.S. Representative","Texas - TX",,White
158725k,2023,Nancy,,Pelosi,Democrat,Congress,"U.S. Representative","California - CA",,White
803941k,2023,Mary,,Peltola,Democrat,Congress,"U.S. Representative","Alaska - AK",,"Native American/Alaska Native/Native Hawaiian"
408919k,2023,Brittany,L.,Pettersen,Democrat,Congress,"U.S. Representative","Colorado - CO",,White
267137k,2023,Chellie,M.,Pingree,Democrat,Congress,"U.S. Representative","Maine - ME",,White
621002k,2023,Katherine,,Porter,Democrat,Congress,"U.S. Representative","California - CA",,White
234321k,2023,Ayanna,,Pressley,Democrat,Congress,"U.S. Representative","Massachusetts - MA",,Black
645441k,2023,Delia,C.,Ramirez,Democrat,Congress,"U.S. Representative","Illinois - IL",,Latina
567336k,2023,Jacklyn,S.,Rosen,Democrat,Congress,"U.S. Senator","Nevada - NV",,White
211983k,2023,Deborah,,Ross,Democrat,Congress,"U.S. Representative","North Carolina - NC",,White
658161k,2023,Maria,,Salazar,Republican,Congress,"U.S. Representative","Florida - FL",,Latina
637004k,2023,Andrea,,Salinas,Democrat,Congress,"U.S. Representative","Oregon - OR",,Latina
211684k,2023,Linda,T.,Sanchez,Democrat,Congress,"U.S. Representative","California - CA",,Latina
655204k,2023,Mary,Gay,Scanlon,Democrat,Congress,"U.S. Representative","Pennsylvania - PA",,White
158836k,2023,Jan,D.,Schakowsky,Democrat,Congress,"U.S. Representative","Illinois - IL",,White
711580k,2023,Hillary,,Scholten,Democrat,Congress,"U.S. Representative","Michigan - MI",,White
632874k,2023,Kim,,Schrier,Democrat,Congress,"U.S. Representative","Washington - WA",,White
283908k,2023,Terri,A.,Sewell,Democrat,Congress,"U.S. Representative","Alabama - AL",,Black
209675k,2023,Jeanne,,Shaheen,Democrat,Congress,"U.S. Senator","New Hampshire - NH",,White
